Attribution Assurance License,AAL,NON-FSF Libre,OSI Approved,,License Text
Abstyles License,Abstyles,NON-FSF Libre,NON-OSI Approved,,License Text
Adobe Systems Incorporated Source Code License Agreement,Adobe-2006,NON-FSF Libre,NON-OSI Approved,,License Text
Adobe Glyph List License,Adobe-Glyph,NON-FSF Libre,NON-OSI Approved,,License Text
Amazon Digital Services License,ADSL,NON-FSF Libre,NON-OSI Approved,,License Text
Academic Free License v1.1,AFL-1.1,FSF Libre,OSI Approved,,License Text
Academic Free License v1.2,AFL-1.2,FSF Libre,OSI Approved,,License Text
Academic Free License v2.0,AFL-2.0,FSF Libre,OSI Approved,,License Text
Academic Free License v2.1,AFL-2.1,FSF Libre,OSI Approved,,License Text
Academic Free License v3.0,AFL-3.0,FSF Libre,OSI Approved,,License Text
Afmparse License,Afmparse,NON-FSF Libre,NON-OSI Approved,,License Text
Affero General Public License v1.0 only,AGPL-1.0-only,NON-FSF Libre,NON-OSI Approved,,License Text
Affero General Public License v1.0 or later,AGPL-1.0-or-later,NON-FSF Libre,NON-OSI Approved,,License Text
GNU Affero General Public License v3.0 only,AGPL-3.0-only,FSF Libre,OSI Approved,,License Text
GNU Affero General Public License v3.0 or later,AGPL-3.0-or-later,FSF Libre,OSI Approved,,License Text
Aladdin Free Public License,Aladdin,NON-FSF Libre,NON-OSI Approved,,License Text
AMD's plpa_map.c License,AMDPLPA,NON-FSF Libre,NON-OSI Approved,,License Text
Apple MIT License,AML,NON-FSF Libre,NON-OSI Approved,,License Text
Academy of Motion Picture Arts and Sciences BSD,AMPAS,NON-FSF Libre,NON-OSI Approved,,License Text
ANTLR Software Rights Notice,ANTLR-PD,NON-FSF Libre,NON-OSI Approved,,License Text
Apache License 1.0,Apache-1.0,FSF Libre,NON-OSI Approved,,License Text
Apache License 1.1,Apache-1.1,FSF Libre,OSI Approved,,License Text
Apache License 2.0,Apache-2.0,FSF Libre,OSI Approved,,License Text
Adobe Postscript AFM License,APAFML,NON-FSF Libre,NON-OSI Approved,,License Text
Adaptive Public License 1.0,APL-1.0,NON-FSF Libre,OSI Approved,,License Text
Apple Public Source License 1.0,APSL-1.0,NON-FSF Libre,OSI Approved,,License Text
Apple Public Source License 1.1,APSL-1.1,NON-FSF Libre,OSI Approved,,License Text
Apple Public Source License 1.2,APSL-1.2,NON-FSF Libre,OSI Approved,,License Text
Apple Public Source License 2.0,APSL-2.0,FSF Libre,OSI Approved,,License Text
Artistic License 1.0 w/clause 8,Artistic-1.0-cl8,NON-FSF Libre,OSI Approved,,License Text
Artistic License 1.0 (Perl),Artistic-1.0-Perl,NON-FSF Libre,OSI Approved,,License Text
Artistic License 1.0,Artistic-1.0,NON-FSF Libre,OSI Approved,,License Text
Artistic License 2.0,Artistic-2.0,FSF Libre,OSI Approved,,License Text
Bahyph License,Bahyph,NON-FSF Libre,NON-OSI Approved,,License Text
Barr License,Barr,NON-FSF Libre,NON-OSI Approved,,License Text
Beerware License,Beerware,NON-FSF Libre,NON-OSI Approved,,License Text
BitTorrent Open Source License v1.0,BitTorrent-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
BitTorrent Open Source License v1.1,BitTorrent-1.1,FSF Libre,NON-OSI Approved,,License Text
Borceux license,Borceux,NON-FSF Libre,NON-OSI Approved,,License Text
BSD 1-Clause License,BSD-1-Clause,NON-FSF Libre,NON-OSI Approved,,License Text
BSD 2-Clause FreeBSD License,BSD-2-Clause-FreeBSD,FSF Libre,NON-OSI Approved,,License Text
BSD 2-Clause NetBSD License,BSD-2-Clause-NetBSD,NON-FSF Libre,NON-OSI Approved,,License Text
BSD-2-Clause Plus Patent License,BSD-2-Clause-Patent,NON-FSF Libre,OSI Approved,,License Text
"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,NON-FSF Libre,OSI Approved,,License Text
BSD with attribution,BSD-3-Clause-Attribution,NON-FSF Libre,NON-OSI Approved,,License Text
BSD 3-Clause Clear License,BSD-3-Clause-Clear,FSF Libre,NON-OSI Approved,,License Text
Lawrence Berkeley National Labs BSD variant license,BSD-3-Clause-LBNL,NON-FSF Libre,NON-OSI Approved,,License Text
BSD 3-Clause No Nuclear License 2014,BSD-3-Clause-No-Nuclear-License-2014,NON-FSF Libre,NON-OSI Approved,,License Text
BSD 3-Clause No Nuclear License,BSD-3-Clause-No-Nuclear-License,NON-FSF Libre,NON-OSI Approved,,License Text
BSD 3-Clause No Nuclear Warranty,BSD-3-Clause-No-Nuclear-Warranty,NON-FSF Libre,NON-OSI Approved,,License Text
"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,FSF Libre,OSI Approved,,License Text
BSD-4-Clause (University of California-Specific),BSD-4-Clause-UC,NON-FSF Libre,NON-OSI Approved,,License Text
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause,FSF Libre,NON-OSI Approved,,License Text
BSD Protection License,BSD-Protection,NON-FSF Libre,NON-OSI Approved,,License Text
BSD Source Code Attribution,BSD-Source-Code,NON-FSF Libre,NON-OSI Approved,,License Text
Boost Software License 1.0,BSL-1.0,FSF Libre,OSI Approved,,License Text
bzip2 and libbzip2 License v1.0.5,bzip2-1.0.5,NON-FSF Libre,NON-OSI Approved,,License Text
bzip2 and libbzip2 License v1.0.6,bzip2-1.0.6,NON-FSF Libre,NON-OSI Approved,,License Text
Caldera License,Caldera,NON-FSF Libre,NON-OSI Approved,,License Text
Computer Associates Trusted Open Source License 1.1,CATOSL-1.1,NON-FSF Libre,OSI Approved,,License Text
Creative Commons Attribution 1.0 Generic,CC-BY-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution 2.0 Generic,CC-BY-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution 2.5 Generic,CC-BY-2.5,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution 3.0 Unported,CC-BY-3.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution 4.0 International,CC-BY-4.0,FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial 1.0 Generic,CC-BY-NC-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial 2.0 Generic,CC-BY-NC-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial 2.5 Generic,CC-BY-NC-2.5,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial 3.0 Unported,CC-BY-NC-3.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial 4.0 International,CC-BY-NC-4.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,CC-BY-NC-ND-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,CC-BY-NC-ND-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,CC-BY-NC-ND-2.5,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,CC-BY-NC-ND-3.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial No Derivatives 4.0 International,CC-BY-NC-ND-4.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,CC-BY-NC-SA-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,CC-BY-NC-SA-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,CC-BY-NC-SA-2.5,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,CC-BY-NC-SA-3.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Non Commercial Share Alike 4.0 International,CC-BY-NC-SA-4.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution No Derivatives 1.0 Generic,CC-BY-ND-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution No Derivatives 2.0 Generic,CC-BY-ND-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution No Derivatives 2.5 Generic,CC-BY-ND-2.5,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution No Derivatives 3.0 Unported,CC-BY-ND-3.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution No Derivatives 4.0 International,CC-BY-ND-4.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Share Alike 1.0 Generic,CC-BY-SA-1.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Share Alike 2.0 Generic,CC-BY-SA-2.0,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Share Alike 2.5 Generic,CC-BY-SA-2.5,NON-FSF Libre,NON-OSI Approved,,License Text
Creative Commons Attribution Share Alike 3.0 Unported,CC-BY-SA-3.0,NON-FSF Libre,NON-OSI Approved,,License Text
